
code	|	name	|	preferred name	|	lineage
2	|	Anna's hummingbird	|	Calypte anna	|	9244 9243 9242 8892 2607030 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	Bactrian camel	|	Camelus bactrianus	|	9837 9836 9835 9834 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	Arabian camel	|	Camelus dromedarius	|	9838 9836 9835 9834 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	Wild Bactrian camel	|	Camelus ferus	|	419612 9836 9835 9834 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	gray wolf	|	Canis lupus	|	9612 9611 9608 379584 33554 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	dog	|	Canis lupus familiaris	|	9615 9612 9611 9608 379584 33554 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Cannabis sativa	|	 	|	3483 3482 3481 3744 91835 71275 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
1	|	Cantharis rustica	|	 	|	195172 41098 433502 41097 71193 41087 41084 7041 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	goat	|	Capra hircus	|	9925 9922 9963 9895 35500 9845 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Capsicum annuum	|	 	|	4072 4071 424564 424551 4070 4069 91888 71274 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
2	|	goldfish	|	Carassius auratus	|	7957 7956 2743694 7953 30727 7952 186627 186626 32519 186634 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	great white shark	|	Carcharodon carcharias	|	13397 13396 7844 7850 30496 119195 119197 119203 7778 7777 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Carcina quercana	|	 	|	116121 116120 753492 37581 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	Red-legged seriema	|	Cariama cristata	|	54380 54379 54378 1956187 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	papaya	|	Carica papaya	|	3649 3648 3647 3699 91836 71275 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
2	|	Philippine tarsier	|	Carlito syrichta	|	1868482 1868481 9475 376912 376913 9443 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	Swainson's thrush	|	Catharus ustulatus	|	91951 9184 9183 9126 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	domestic guinea pig	|	Cavia porcellus	|	10141 10140 10139 33550 9989 314147 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	holly blue	|	Celastrina argiolus	|	203782 42298 42297 27544 37572 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	wheat stem sawfly	|	Cephus cinctus	|	211228 173784 27524 222823 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	Mediterranean fruit fly	|	Ceratitis capitata	|	7213 474492 7212 164862 164860 7211 43752 43741 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	southern white rhinoceros	|	Ceratotherium simum simum	|	73337 9807 9806 9803 9787 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Cerceris rybyensis	|	 	|	1167272 288388 288382 216423 253718 2153468 34735 7434 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2+	|	elk	|	Alces alces	|	9852 9851 9881 9850 35500 9845 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2+	|	elk	|	Cervus canadensis	|	1574408 9859 34878 9850 35500 9845 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	red deer	|	Cervus elaphus	|	9860 9859 34878 9850 35500 9845 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2+	|	milkfish	|	Chanidae	|	29142 186632 29140 186633 32519 186634 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2+	|	milkfish	|	Chanos chanos	|	29144 29143 29142 186632 29140 186633 32519 186634 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	humphead wrasse	|	Cheilinus undulatus	|	241271 202584 8247 1489928 1489922 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Cheilosia vulpina	|	 	|	273409 173981 192448 115244 34680 43740 43737 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	copperband butterflyfish	|	Chelmon rostratus	|	109905 109904 30828 1545895 1489922 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	Green sea turtle	|	Chelonia mydas	|	8469 8468 8465 27791 1579336 1579337 8464 8459 2841271 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	whitespotted bambooshark	|	Chiloscyllium plagiosum	|	36176 34767 40580 30503 119195 119197 119203 7778 7777 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	long-tailed chinchilla	|	Chinchilla lanigera	|	34839 10151 10150 33550 9989 314147 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Chlamydomonas reinhardtii	|	 	|	3055 3052 3051 3042 2812636 3166 2692248 3041 33090 2759 131567 
2	|	green monkey	|	Chlorocebus sabaeus	|	60711 392815 9528 9527 314294 9526 314293 376913 9443 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	southern two-toed sloth	|	Choloepus didactylus	|	27675 9357 227508 948953 948950 9348 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	western painted turtle	|	Chrysemys picta bellii	|	8478 8479 8477 8476 8486 1579337 8464 8459 2841271 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	Cape golden mole	|	Chrysochloris asiatica	|	185453 185452 745257 9389 311790 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Chrysoperla carnea	|	 	|	189513 7521 2029106 7520 2029065 7516 85817 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Chrysoteuchia culmella	|	 	|	1594250 572825 40081 268499 37573 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Chrysotoxum bicinctum	|	 	|	323313 219506 115274 43838 34680 43740 43737 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Ciconia maguari	|	 	|	52777 8927 8926 8920 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	bed bug	|	Cimex lectularius	|	79782 30079 30078 33355 33354 33351 33349 33347 33345 33343 7524 33342 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	vase tunicate	|	Ciona intestinalis	|	7719 7718 7717 7716 7713 7712 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	Atlantic herring	|	Clupea harengus	|	7950 7949 7948 55118 1489460 32446 282425 186634 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Clusia tigrina	|	 	|	576317 574057 286472 43749 43741 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	seven-spotted ladybird	|	Coccinella septempunctata	|	41139 41138 263631 7081 7080 71526 41088 41084 7041 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Coccomyxa sp. Obi	|	 	|	2315456 2688356 41891 2511161 75981 75966 2692248 3041 33090 2759 131567 
1	|	Colletotrichum graminicola M1.001	|	 	|	645133 31870 2707348 5455 681950 1028384 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
2	|	rock pigeon	|	Columba livia	|	8932 8931 8930 8929 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	lake whitefish	|	Coregonus clupeaformis	|	59861 27772 504567 8015 8006 41705 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Coremacera marginata	|	 	|	1226616 1226614 169447 43750 43741 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Corvus cornix cornix	|	 	|	932674 181096 30420 28725 192204 9126 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	New Caledonian crow	|	Corvus moneduloides	|	1196302 30420 28725 192204 9126 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	dun-bar pinion	|	Cosmia trapezina	|	116126 116125 116124 7100 37570 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	Japanese quail	|	Coturnix japonica	|	93934 9090 466544 9005 8976 1549675 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	Pacific oyster	|	Crassostrea gigas	|	29159 6564 6563 98302 6562 6545 2785011 6544 6447 1206795 2697495 33317 33213 6072 33208 33154 2759 131567 
2	|	eastern oyster	|	Crassostrea virginica	|	6565 6564 6563 98302 6562 6545 2785011 6544 6447 1206795 2697495 33317 33213 6072 33208 33154 2759 131567 
2	|	Chinese hamster	|	Cricetulus griseus	|	10029 10028 10026 337677 337687 1963758 9989 314147 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Criorhina berberina	|	 	|	2663927 224238 224230 115244 34680 43740 43737 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Crocallis elinguaria	|	 	|	934829 704699 82596 82593 82592 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	eastern diamondback rattlesnake	|	Crotalus adamanteus	|	8729 8728 8710 8689 34989 8570 1329911 1329912 1329950 1329961 8509 8504 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Cryptococcus floricola	|	 	|	2591691 5206 1884633 5234 155616 5302 5204 451864 4751 33154 2759 131567 
1	|	Cryptococcus neoformans var. grubii	|	 	|	178876 5207 1897064 5206 1884633 5234 155616 5302 5204 451864 4751 33154 2759 131567 
2	|	common cuckoo	|	Cuculus canorus	|	55661 33592 8941 8940 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	vegetable marrow	|	Cucurbita pepo subsp. pepo	|	3664 3663 3660 1003878 3650 71239 91835 71275 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
2	|	southern house mosquito	|	Culex quinquefasciatus	|	7176 518105 53527 7174 53550 43817 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Cyaniris semiargus	|	 	|	988025 1821620 42297 27544 37572 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	lumpfish	|	Cyclopterus lumpus	|	8103 8102 181456 8101 1490021 8100 8111 1489922 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Cydia splendana	|	 	|	1100963 82599 581387 81687 7139 37568 104430 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	mute swan	|	Cygnus olor	|	8869 8867 2068722 8830 8826 1549675 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	tongue sole	|	Cynoglossus semilaevis	|	244447 106173 603456 30947 30942 8252 1489904 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	sheepshead minnow	|	Cyprinodon variegatus	|	28743 28741 136838 136836 8076 8087 28738 1489913 1489908 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	common carp	|	Cyprinus carpio	|	7962 7961 2743694 7953 30727 7952 186627 186626 32519 186634 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	zebrafish	|	Danio rerio	|	7955 7954 2743711 2743709 30727 7952 186627 186626 32519 186634 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Daphnia magna	|	 	|	35525 6668 77658 116561 6665 84337 116557 6658 6657 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	nine-banded armadillo	|	Dasypus novemcinctus	|	9361 9360 9359 948951 9348 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Daucus carota subsp. sativus	|	 	|	79200 4039 1873447 4038 241799 241789 241778 4037 364270 4036 91882 71274 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
1	|	Deilephila porcellus	|	 	|	644661 283833 523176 82617 7128 37569 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	beluga whale	|	Delphinapterus leucas	|	9749 9748 9747 9722 9721 2653789 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	denticle herring	|	Denticeps clupeoides	|	299321 299320 299319 1489459 32446 282425 186634 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Dermacentor silvarum	|	 	|	543639 34619 426437 6939 297308 6935 6934 6933 6854 6843 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	leatherback sea turtle	|	Dermochelys coriacea	|	27794 27793 27792 27791 1579336 1579337 8464 8459 2841271 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	common vampire bat	|	Desmodus rotundus	|	9430 9429 40237 9415 30560 9397 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Diadumene lineata	|	 	|	1789172 478394 478428 86626 6103 6102 6101 6073 6072 33208 33154 2759 131567 
1	|	Dictyostelium discoideum AX4	|	 	|	352472 44689 5782 2058185 2058949 33083 142796 2605435 554915 2759 131567 
2	|	median wasp	|	Dolichovespula media	|	881891 7440 7439 7438 34725 7434 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Dolichovespula saxonica	|	 	|	85443 7440 7439 7438 34725 7434 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	zebra mussel	|	Dreissena polymorpha	|	45954 45951 45950 105711 278205 2908833 2785015 735337 6599 2785011 6544 6447 1206795 2697495 33317 33213 6072 33208 33154 2759 131567 
2+	|	monito del monte	|	Microbiotheriidae	|	30660 38607 9263 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2+	|	monito del monte	|	Dromiciops gliroides	|	33562 33561 30660 38607 9263 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Drosophila albomicans	|	 	|	7291 32307 32304 32281 7215 46877 43845 7214 43746 43741 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Drosophila ananassae	|	 	|	7217 545632 32347 32346 32341 7215 46877 43845 7214 43746 43741 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Drosophila innubila	|	 	|	198719 32320 32281 7215 46877 43845 7214 43746 43741 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Drosophila mauritiana	|	 	|	7226 32351 32346 32341 7215 46877 43845 7214 43746 43741 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2+	|	fruit fly	|	Tephritidae	|	7211 43752 43741 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2+	|	fruit fly	|	Drosophila	|	7215 46877 43845 7214 43746 43741 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2+	|	fruit fly	|	Drosophila melanogaster	|	7227 32351 32346 32341 7215 46877 43845 7214 43746 43741 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Drosophila pseudoobscura	|	 	|	7237 32358 32355 32341 7215 46877 43845 7214 43746 43741 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Drosophila santomea	|	 	|	129105 32351 32346 32341 7215 46877 43845 7214 43746 43741 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Drosophila sechellia	|	 	|	7238 32351 32346 32341 7215 46877 43845 7214 43746 43741 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Drosophila simulans	|	 	|	7240 32351 32346 32341 7215 46877 43845 7214 43746 43741 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Drosophila subobscura	|	 	|	7241 32357 32355 32341 7215 46877 43845 7214 43746 43741 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Drosophila teissieri	|	 	|	7243 32351 32346 32341 7215 46877 43845 7214 43746 43741 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Drosophila yakuba	|	 	|	7245 32351 32346 32341 7215 46877 43845 7214 43746 43741 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	Downy woodpecker	|	Dryobates pubescens	|	118200 1517830 9220 9219 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Dryobotodes eremita	|	 	|	988106 988105 572922 7100 37570 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	live sharksucker	|	Echeneis naucrates	|	173247 173246 173245 1489907 1489904 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	small Madagascar hedgehog	|	Echinops telfairi	|	9371 9370 176113 9369 311790 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Ectemnius continuus	|	 	|	1126389 421297 421285 288410 253722 253718 2153468 34735 7434 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Ectemnius lituratus	|	 	|	2495015 421297 421285 288410 253722 253718 2153468 34735 7434 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	little egret	|	Egretta garzetta	|	188379 56073 8899 9205 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Eilema sororculum	|	 	|	987424 464722 132199 30225 695564 37570 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	electric eel	|	Electrophorus electricus	|	8005 8004 30771 1489620 8002 186628 186626 32519 186634 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	morning-glory plume moth	|	Emmelina monodactyla	|	467774 467773 186112 186111 104493 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Endotricha flammealis	|	 	|	1101095 1101094 299347 7135 37573 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Enhydra lutris kenyoni	|	 	|	391180 34882 34881 169417 9655 379584 33554 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	dusky thorn	|	Ennomos fuscantarius	|	722662 214128 82596 82593 82592 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Ennomos quercinarius	|	 	|	875883 214128 82596 82593 82592 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	giant grouper	|	Epinephelus lanceolatus	|	310571 94231 1505891 274794 30871 1489943 8111 1489922 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	ass	|	Equus asinus	|	9793 35508 9789 9788 9787 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	horse	|	Equus caballus	|	9796 35510 9789 9788 9787 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	Przewalski's horse	|	Equus przewalskii	|	9798 35510 9789 9788 9787 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	mottled umber moth	|	Erannis defoliaria	|	104474 104473 82596 82593 82592 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2+	|	Scotch argus	|	Aricia artaxerxes	|	91738 91737 42297 27544 37572 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2+	|	Scotch argus	|	Erebia aethiops	|	447833 111897 1664845 42282 33415 37572 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
