
code	|	name	|	preferred name	|	lineage
2	|	largescale foureyes	|	Anableps anableps	|	195821 143028 143027 143026 8087 28738 1489913 1489908 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	wolf-eel	|	Anarrhichthys ocellatus	|	433405 433404 8202 8192 8100 8111 1489922 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	mallard	|	Anas platyrhynchos	|	8839 8835 2068716 8830 8826 1549675 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Andrena haemorrhoa	|	 	|	444401 205271 48720 205141 48719 34735 7434 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	European eel	|	Anguilla anguilla	|	7936 7935 7934 7933 32521 186624 1489340 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	Japanese eel	|	Anguilla japonica	|	7937 7935 7934 7933 32521 186624 1489340 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	American eel	|	Anguilla rostrata	|	7938 7935 7934 7933 32521 186624 1489340 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	green anole	|	Anolis carolinensis	|	28377 28376 2024747 8511 1329911 1329912 1329950 1329961 8509 8504 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Anopheles arabiensis	|	 	|	7173 44542 44537 44534 7164 43816 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Anopheles cf. funestus SBV-2013	|	 	|	1355220 59142 59140 44534 7164 43816 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Anopheles coluzzii	|	 	|	1518534 44542 44537 44534 7164 43816 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Anopheles gambiae str. PEST	|	 	|	180454 7165 44542 44537 44534 7164 43816 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Anopheles longipalpis	|	 	|	412009 412010 59140 44534 7164 43816 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Anopheles merus	|	 	|	30066 44542 44537 44534 7164 43816 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Anopheles parensis	|	 	|	162637 59142 59140 44534 7164 43816 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Anopheles rivulorum	|	 	|	70327 59142 59140 44534 7164 43816 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Anopheles sp. NFL-2015	|	 	|	1712672 63365 7164 43816 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	Asian malaria mosquito	|	Anopheles stephensi	|	30069 44535 44534 7164 43816 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Anopheles vaneedeni	|	 	|	62325 59142 59140 44534 7164 43816 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Anoplius nigerrimus	|	 	|	1667466 200613 1801551 27515 1803217 7434 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	Asian longhorned beetle	|	Anoplophora glabripennis	|	217634 157304 192383 79514 34667 71528 41088 41084 7041 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Anser cygnoides domesticus	|	 	|	381198 8845 8842 2068722 8830 8826 1549675 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	warty frogfish	|	Antennarius maculatus	|	882753 242978 241819 241818 8070 1489922 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	orange tip	|	Anthocharis cardamines	|	227532 72244 152601 42449 7114 37572 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	Ma's night monkey	|	Aotus nancymaae	|	37293 9504 376918 9479 314293 376913 9443 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Apamea monoglypha	|	 	|	875885 95189 2555556 95179 7100 37570 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Aphelinus atriplicis	|	 	|	2890793 163151 272339 108385 7422 1955251 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Aphelinus certus	|	 	|	1041456 163151 272339 108385 7422 1955251 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Aphidius gifuensis	|	 	|	684658 37852 68882 7402 7401 1955251 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Apis cerana cerana	|	 	|	94128 7461 7459 83321 70987 7458 34735 7434 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	little honeybee	|	Apis florea	|	7463 7459 83321 70987 7458 34735 7434 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	honey bee	|	Apis mellifera	|	7460 7459 83321 70987 7458 34735 7434 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Aplidium turbinatum	|	 	|	2771288 201956 201955 32436 7713 7712 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Aplocera efformata	|	 	|	934917 934916 104450 82593 82592 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	California sea hare	|	Aplysia californica	|	6500 6499 6498 216318 6497 2836391 216307 216305 6448 6447 1206795 2697495 33317 33213 6072 33208 33154 2759 131567 
2	|	hazel leaf roller	|	Apoderus coryli	|	201766 122772 701798 122737 71529 41088 41084 7041 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Apotomis turbidana	|	 	|	1100916 572704 581389 81687 7139 37568 104430 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Aquila chrysaetos canadensis	|	 	|	216574 8962 8960 8955 56259 2558200 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Aquila chrysaetos chrysaetos	|	 	|	223781 8962 8960 8955 56259 2558200 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
